title,link,genre
12 Angry Men,https://www.rottentomatoes.com/m/1000013_12_angry_men,Unknown
2001: A Space Odyssey,https://www.rottentomatoes.com/m/2001_a_space_odyssey,Unknown
The 400 Blows,https://www.rottentomatoes.com/m/400_blows,Unknown
"The Adventures of Priscilla, Queen of the Desert",https://www.rottentomatoes.com/m/adventures_of_priscilla_queen_of_the_desert,Unknown
The Adventures of Robin Hood,https://www.rottentomatoes.com/m/1000355-adventures_of_robin_hood,Unknown
Aguirre: The Wrath of God,https://www.rottentomatoes.com/m/aguirre_the_wrath_of_god,Unknown
Airplane!,https://www.rottentomatoes.com/m/airplane,Unknown
Akira,https://www.rottentomatoes.com/m/akira,Unknown
Alien,https://www.rottentomatoes.com/m/alien,Unknown
Aliens,https://www.rottentomatoes.com/m/1000617-aliens,Unknown
All About Eve,https://www.rottentomatoes.com/m/1000626-all_about_eve,Unknown
All About My Mother,https://www.rottentomatoes.com/m/all_about_my_mother,Unknown
All the President's Men,https://www.rottentomatoes.com/m/all_the_presidents_men,Unknown
Almost Famous,https://www.rottentomatoes.com/m/almost_famous,Unknown
Amadeus,https://www.rottentomatoes.com/m/amadeus,Unknown
Amélie,https://www.rottentomatoes.com/m/amelie,Unknown
Amour,https://www.rottentomatoes.com/m/amour_2013,Unknown
An American in Paris,https://www.rottentomatoes.com/m/american_in_paris,Unknown
Annie Hall,https://www.rottentomatoes.com/m/annie_hall,Unknown
The Apartment,https://www.rottentomatoes.com/m/1001115-apartment,Unknown
Apocalypse Now,https://www.rottentomatoes.com/m/apocalypse_now,Unknown
Avengers: Endgame,https://www.rottentomatoes.com/m/avengers_endgame,Unknown
Back to the Future,https://www.rottentomatoes.com/m/back_to_the_future,Unknown
Badlands,https://www.rottentomatoes.com/m/badlands,Unknown
Beauty and the Beast,https://www.rottentomatoes.com/m/beauty_and_the_beast_1991,Unknown
Being John Malkovich,https://www.rottentomatoes.com/m/being_john_malkovich,Unknown
Being There,https://www.rottentomatoes.com/m/being_there,Unknown
The Best Years of Our Lives,https://www.rottentomatoes.com/m/best_years_of_our_lives,Unknown
Better Luck Tomorrow,https://www.rottentomatoes.com/m/better_luck_tomorrow,Unknown
Bicycle Thieves,https://www.rottentomatoes.com/m/bicycle_thieves,Unknown
The Big Lebowski,https://www.rottentomatoes.com/m/the_big_lebowski,Unknown
The Big Sick,https://www.rottentomatoes.com/m/the_big_sick,Unknown
Birdman or (The Unexpected Virtue of Ignorance),https://www.rottentomatoes.com/m/birdman_2014,Unknown
Black Hawk Down,https://www.rottentomatoes.com/m/black_hawk_down,Unknown
Black Orpheus,https://www.rottentomatoes.com/m/black_orpheus,Unknown
Black Panther,https://www.rottentomatoes.com/m/black_panther_2018,Unknown
Blade Runner,https://www.rottentomatoes.com/m/blade_runner,Unknown
Blazing Saddles,https://www.rottentomatoes.com/m/blazing_saddles,Unknown
Boogie Nights,https://www.rottentomatoes.com/m/boogie_nights,Unknown
Boys Don't Cry,https://www.rottentomatoes.com/m/boys_dont_cry,Unknown
